-== Watchman Report ==- 

-== Congratulations, all 34 actions from your config are available!

-== Missing 182 entity(ies) from 518 found in your config:
+--------------------------------+----------+---------------------------------------------------------------+
| Entity ID                      | State    | Location                                                      |
+--------------------------------+----------+---------------------------------------------------------------+
| binary_sensor.garage_door_open | unavail  | 📄 .storage/lovelace:75                                       |
|                                |          | 📄 .storage/lovelace.lovelace_highlights:59                   |
|                                |          | 📄 alerts.yaml:15                                             |
|                                |          | 📄 automations.yaml:655                                       |
|                                |          | 📄 customize.yaml:82                                          |
|                                |          | 📄 templates.yaml:66                                          |
| binary_sensor.aarlo_motion_arl | missing  | 📄 .storage/lovelace:129                                      |
| ozoneinside                    |          | 📄 customize.yaml:62                                          |
| binary_sensor.aarlo_motion_arl | missing  | 📄 .storage/lovelace:133                                      |
| ozonefront                     |          | 📄 customize.yaml:59                                          |
| sensor.time_to_work            | missing  | 📄 .storage/lovelace:159                                      |
|                                |          | 📄 recorder.yaml:48                                           |
| lawn_mower.roger               | unavail  | 📄 .storage/lovelace:214                                      |
| sensor.roger_error             | unavail  | 📄 .storage/lovelace:217                                      |
| sensor.roger_battery_2         | unavail  | 📄 .storage/lovelace:220                                      |
| camera.aarlo_arlozoneinside    | missing  | 📄 .storage/lovelace:269                                      |
|                                |          | 📄 .storage/lovelace.lovelace_highlights:81                   |
| camera.aarlo_arlozonefront     | missing  | 📄 .storage/lovelace:288                                      |
| sensor.sl_departure_sensor_461 | unavail  | 📄 .storage/lovelace:335                                      |
| 2_sl_departures                |          |                                                               |
| sensor.sl_departure_sensor_919 | unavail  | 📄 .storage/lovelace:352                                      |
| 4_slussen_buss                 |          |                                                               |
| binary_sensor.diskmaskin_door  | unavail  | 📄 .storage/lovelace:359                                      |
| sensor.diskmaskin_program_prog | unavail  | 📄 .storage/lovelace:367                                      |
| ress                           |          |                                                               |
| sensor.diskmaskin_remaining_pr | unavail  | 📄 .storage/lovelace:371                                      |
| ogram_time                     |          |                                                               |
| light.play_room_ceiling        | unavail  | 📄 .storage/lovelace:449                                      |
|                                |          | 📄 groups.yaml:21,71                                          |
| switch.on_off_plug_in_unit_16  | unavail  | 📄 .storage/lovelace:467                                      |
|                                |          | 📄 automations.yaml:1005                                      |
| switch.tp2                     | unavail  | 📄 .storage/lovelace:499,1705                                 |
| switch.water_control           | missing  | 📄 .storage/lovelace:514,1706                                 |
|                                |          | 📄 automations.yaml:562,595                                   |
| fan.albins_fan                 | disabled | 📄 .storage/lovelace:517                                      |
|                                |          | 📄 automations.yaml:375,397                                   |
| alarm_control_panel.aarlo_arlo | missing  | 📄 .storage/lovelace:540                                      |
| zone                           |          | 📄 automations.yaml:117,134                                   |
| switch.arteon_electric_climati | unavail  | 📄 .storage/lovelace:554,1774                                 |
| sation                         |          | 📄 automations.yaml:668                                       |
| switch.arteon_auxiliary_climat | unavail  | 📄 .storage/lovelace:557,1758                                 |
| isation                        |          |                                                               |
| automation.marie_starts_moving | unavail  | 📄 .storage/lovelace:590                                      |
| sensor.aqara_motion_temperatur | unavail  | 📄 .storage/lovelace:714                                      |
| e                              |          |                                                               |
| sensor.switch_21_temperature   | unavail  | 📄 .storage/lovelace:717                                      |
| sensor.garage_door_temperature | unavail  | 📄 .storage/lovelace:727                                      |
| sensor.garage_side_humidity    | unavail  | 📄 .storage/lovelace:731                                      |
| sensor.garage_side_pressure    | unavail  | 📄 .storage/lovelace:734,846                                  |
| sensor.garage_side_temperature | unavail  | 📄 .storage/lovelace:737                                      |
| sensor.arteon_charging_energy  | missing  | 📄 .storage/lovelace:1089                                     |
| sensor.power_savsangarvagen_54 | missing  | 📄 .storage/lovelace:1104                                     |
| a                              |          |                                                               |
| sensor.aarlo_signal_strength_a | missing  | 📄 .storage/lovelace:1347                                     |
| rlozonefront                   |          |                                                               |
| sensor.aarlo_signal_strength_a | missing  | 📄 .storage/lovelace:1350                                     |
| rlozoneinside                  |          |                                                               |
| sensor.omv_temperature         | unknown  | 📄 .storage/lovelace:1374                                     |
| sensor.aarlo_battery_level_arl | missing  | 📄 .storage/lovelace:1390                                     |
| ozonefront                     |          |                                                               |
| sensor.aarlo_battery_level_arl | missing  | 📄 .storage/lovelace:1393                                     |
| ozoneinside                    |          |                                                               |
| sensor.garage_door_battery_lev | unavail  | 📄 .storage/lovelace:1420                                     |
| el                             |          |                                                               |
| sensor.speedtest_download      | unavail  | 📄 .storage/lovelace:1489                                     |
| sensor.speedtest_upload        | unavail  | 📄 .storage/lovelace:1492                                     |
| sensor.speedtest_ping          | unavail  | 📄 .storage/lovelace:1495                                     |
| device_tracker.pixel_9a        | unknown  | 📄 .storage/lovelace:1512                                     |
| sensor.water_control_battery_l | missing  | 📄 .storage/lovelace:1531                                     |
| evel                           |          |                                                               |
| sensor.plant_sensor_battery_le | missing  | 📄 .storage/lovelace:1532                                     |
| vel                            |          |                                                               |
| light.guest_room_desk          | unavail  | 📄 .storage/lovelace:1683                                     |
|                                |          | 📄 groups.yaml:5,61                                           |
